,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage
92,2018,Everton,54,30,21,24.21,182.45,75.73,73.94,8438181,59606
93,2018,Leicester City,52,24,20,25.64,181.94,78.3,73.97,7597727,44758
94,2018,Tottenham Hotspur,71,34,16,24.48,183.06,77.7,75.97,18203333,76606
95,2018,West Ham United,52,32,27,25.61,181.94,75.64,72.91,7811060,53394
96,2018,Brighton & Hove Albion,36,19,28,25.39,181.88,76.64,71.24,4984545,28879
97,2018,Burnley,40,24,32,25.76,182.91,77.27,70.94,5955303,34848
98,2018,Manchester City,98,57,12,24.09,180.45,74.12,76.85,22951363,112758
99,2018,Crystal Palace,49,19,23,25.21,183.42,75.06,71.12,5714696,32606
100,2019,Liverpool,99,85,33,24.48,181.21,73.39,75.85,21008030,80818
101,2019,West Ham United,39,49,62,26.0,181.15,75.64,72.58,8412575,52939
102,2019,Bournemouth,34,40,65,24.76,183.09,76.09,72.3,6521515,38061
103,2019,Burnley,54,43,50,26.09,182.88,77.85,71.3,5392121,23939
104,2019,Crystal Palace,43,31,50,25.97,184.39,76.82,70.79,5760000,33939
105,2019,Watford,34,36,64,27.0,184.55,79.88,75.0,7257424,47788
106,2019,Tottenham Hotspur,59,61,47,23.88,181.79,76.85,76.48,19692424,78879
107,2019,Leicester City,62,67,41,25.52,181.42,76.88,74.36,8232575,53000
108,2019,Newcastle United,44,38,58,25.97,181.36,77.45,73.33,6959545,29394
109,2019,Manchester United,66,66,36,24.82,183.55,74.97,76.85,15202272,87091
110,2019,Arsenal,56,56,48,23.85,182.48,75.76,75.06,13783636,61394
111,2019,Aston Villa,35,41,67,24.42,183.7,77.64,69.18,4629090,28939
112,2019,Brighton & Hove Albion,41,39,54,25.82,182.3,77.18,72.39,6023939,32061
113,2019,Everton,49,44,56,25.42,183.58,76.55,75.12,9732575,56606
114,2019,Norwich City,21,26,75,24.36,183.58,76.03,69.33,3599393,23333
115,2019,Southampton,52,51,60,24.3,182.88,75.12,72.24,6386666,33273
116,2019,Manchester City,81,102,35,24.33,179.82,72.97,77.0,25628636,120727
117,2019,Sheffield United,54,39,39,26.21,182.58,76.39,68.88,2932424,17909
118,2019,Chelsea,66,69,54,24.76,183.18,79.0,77.06,15302121,85030
119,2019,Wolverhampton Wanderers,59,51,40,23.76,183.36,77.82,70.45,7016666,41970
