Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
3,2016,Manchester City,78,37,17,26.21,179.83,74.9,77.21,14970689,97034,193.5,157.8
4,2016,Liverpool,76,45,18,24.19,181.07,75.15,76.11,10711111,78370,71.91,107.35
5,2016,Arsenal,75,39,16,24.44,181.12,72.78,74.44,12559062,82344,101.736,77.56
6,2016,Manchester United,69,26,12,24.7,182.3,74.67,76.26,13582037,83333,166.5,160.91
7,2016,Everton,61,42,16,25.75,181.07,75.14,74.36,6733928,53679,77.39999999999998,52.52
8,2016,Southampton,46,17,21,24.35,181.97,76.26,72.06,4696129,34484,62.00999999999999,67.5
9,2016,Bournemouth,46,35,29,25.79,182.0,77.69,69.9,2162758,23414,36.626,0.0
10,2016,West Bromwich Albion,45,27,22,25.37,182.27,76.9,70.13,3350000,32033,34.11,31.71
11,2016,West Ham United,45,19,31,24.13,182.61,75.9,70.45,4050161,36613,75.15,51.41
12,2016,Leicester City,44,31,25,25.74,180.65,74.87,69.39,2496612,26581,82.44000000000003,49.31
13,2016,Stoke City,44,24,24,26.96,184.61,78.82,73.86,5223928,42429,34.903,28.27
14,2016,Crystal Palace,41,24,25,26.76,183.83,78.1,72.83,3330517,36828,91.17,48.4
15,2016,Swansea City,41,27,34,25.77,181.9,77.17,72.07,4596666,37767,52.29,36.43
16,2016,Burnley,40,26,20,26.48,182.85,77.07,69.04,1390370,17630,41.03999999999999,0.0
17,2016,Watford,40,25,29,26.86,183.39,78.54,71.32,2790178,32536,63.41499999999999,0.0
18,2016,Hull City,34,28,35,24.96,182.25,76.25,67.75,2003392,22536,36.00000000000001,0.0
19,2016,Middlesbrough,28,17,23,25.81,183.93,77.11,67.85,1437777,17926,43.16,0.0
20,2016,Sunderland,24,16,34,25.56,181.5,76.0,71.22,3335156,33688,37.72,39.14
1,2015,Leicester City,81,35,18,25.03,181.85,75.76,66.45,0,0,44.91,0.0
2,2015,Arsenal,71,31,11,23.82,181.21,73.0,74.18,0,0,23.85,58.42
3,2015,Tottenham Hotspur,70,35,15,24.39,183.15,76.61,73.48,0,0,63.89999999999999,72.61
4,2015,Manchester United,66,27,9,23.94,183.0,75.45,73.39,0,0,140.39999999999998,128.55
5,2015,Manchester City,66,47,21,25.48,182.55,76.82,73.42,0,0,187.376,128.1
6,2015,Southampton,63,39,22,23.12,182.48,76.09,68.91,0,0,54.09,58.71
7,2015,West Ham United,62,34,26,24.66,183.0,75.97,69.09,0,0,47.43,33.56
8,2015,Liverpool,60,33,22,23.42,180.27,73.85,73.06,0,0,113.85,100.81
9,2015,Stoke City,51,22,24,25.45,185.33,78.18,70.09,0,0,48.29,18.74
10,2015,Chelsea,50,32,30,23.76,183.42,77.3,73.27,0,0,81.45,107.57
11,2015,Everton,47,35,30,25.33,180.67,75.55,72.36,0,0,44.01,36.26
12,2015,Swansea City,47,20,20,24.61,181.36,77.36,68.7,0,0,19.629,26.99
13,2015,Watford,45,20,19,25.33,182.13,76.4,66.33,0,0,75.17999999999998,0.0
14,2015,West Bromwich Albion,43,20,26,25.45,182.3,77.79,69.27,0,0,38.61,25.05
15,2015,Bournemouth,42,23,34,25.03,180.63,75.97,63.93,0,0,49.604000000000006,0.0
16,2015,Crystal Palace,42,19,23,26.42,182.52,76.21,69.42,0,0,25.92,27.91
17,2015,Sunderland,39,23,20,23.85,182.33,76.0,68.03,0,0,59.45,36.75
18,2015,Newcastle United,37,32,24,24.06,181.97,77.42,70.48,0,0,97.124,0.0
19,2015,Norwich City,34,26,30,25.7,182.3,76.83,69.4,0,0,39.47,0.0
10,2015,Aston Villa,17,14,35,24.41,182.47,76.03,69.47,0,0,59.895,0.0
1,2019,Juventus,83,76,43,27.16,184.96,80.16,82.16,27679000,130840,201.15,194.28
2,2019,FC Internazionale Milano,82,81,36,27.46,182.83,76.96,79.71,19418125,66792,171.28400000000005,127.64
3,2019,SS Lazio,78,79,42,25.52,182.88,77.06,75.39,10884848,38273,41.078,36.29
4,2019,Atalanta,78,98,48,24.72,185.28,78.68,72.64,6632200,20880,51.13,49.78
5,2019,AS Roma,70,77,51,25.65,185.04,77.65,77.35,12983653,53769,102.69,110.81
6,2019,AC Milan,66,63,46,25.48,182.41,76.52,78.03,14662068,72552,94.05,146.03
7,2019,Napoli,62,61,50,25.92,180.8,74.28,79.84,19816000,70000,176.85000000000005,100.5
9,2019,Parma,49,56,57,27.69,181.07,74.38,69.9,2802413,22655,0.0,0.0
9,2019,Parma,49,56,57,27.69,181.07,74.38,69.9,2802413,22655,22.384,0.0
10,2019,ACF Fiorentina,49,51,48,24.13,184.17,76.04,74.04,7315652,39261,40.72,54.44
11,2019,Hellas Verona,49,47,51,24.69,182.79,75.66,67.52,1518275,7379,18.669,0.0
