,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage
78,2017,Torino,54,29,18,25.33,183.37,76.26,73.74,7250185,38519
79,2017,Cagliari Calcio,39,18,30,26.96,182.46,75.08,71.54,3615625,33708
80,2018,AC Chievo Verona,20,14,37,27.69,182.41,77.41,71.17,3313793,10517
81,2018,SS Lazio,59,36,25,25.52,182.88,77.06,75.39,10884848,38273
82,2018,Bologna,44,28,22,25.46,184.82,77.75,72.71,4771428,21714
83,2018,Empoli,38,33,30,25.06,182.91,76.45,68.15,2163939,8455
84,2018,Parma,41,18,25,27.69,181.07,74.38,69.9,2802413,22655
85,2018,Sassuolo Calcio,43,33,33,24.74,182.59,77.59,72.33,5555370,30037
86,2018,Torino,63,32,19,25.35,182.65,76.27,73.35,7524423,28423
87,2018,Atalanta,69,36,19,24.72,185.28,78.68,72.64,6632200,20880
88,2018,Juventus,90,39,13,27.16,184.96,80.16,82.16,27679000,130840
89,2018,Napoli,79,41,16,25.92,180.8,74.28,79.84,19816000,70000
90,2018,Cagliari Calcio,41,23,20,27.96,182.52,76.24,72.48,4088000,22360
91,2018,ACF Fiorentina,41,25,19,24.13,184.17,76.04,74.04,7315652,39261
92,2018,Frosinone,25,14,38,25.55,183.3,77.18,69.55,2637121,10545
93,2018,Genoa,38,21,22,25.76,183.4,75.6,72.16,4001600,12240
94,2018,FC Internazionale Milano,69,27,10,27.46,182.83,76.96,79.71,19418125,66792
95,2018,SPAL,42,20,26,26.41,185.3,78.11,70.74,3567592,10111
96,2018,Udinese Calcio,43,22,22,23.57,183.93,78.33,71.77,5071666,15533
97,2018,AS Roma,66,43,26,25.65,185.04,77.65,77.35,12983653,53769
98,2018,AC Milan,68,31,17,25.48,182.41,76.52,78.03,14662068,72552
99,2018,Sampdoria,53,28,16,24.78,182.96,76.37,72.11,5162407,23704
100,2019,Parma,49,56,57,27.94,182.7,76.67,69.73,2890000,22273
101,2019,ACF Fiorentina,49,51,48,24.0,184.4,76.27,70.4,5241500,26567
102,2019,Udinese Calcio,45,37,51,24.97,186.24,79.7,71.85,5127272,11061
103,2019,Cagliari Calcio,45,52,56,26.61,182.81,77.03,71.81,4768870,20323
104,2019,AS Roma,70,77,51,25.16,184.42,75.48,74.77,9323709,31516
105,2019,Sampdoria,42,48,65,24.22,182.31,76.03,70.62,4423750,18781
106,2019,SPAL,20,27,70,26.7,184.59,77.41,69.78,3191111,8741
107,2019,Torino,40,46,68,25.1,183.9,77.31,72.38,7419137,28793
108,2019,Hellas Verona,49,47,51,26.09,181.85,75.0,69.79,2782424,9485
109,2019,FC Internazionale Milano,82,81,36,25.67,182.33,76.03,75.67,14953666,53733
110,2019,Bologna,47,52,65,25.55,183.61,76.81,71.9,4812741,20387
111,2019,AC Milan,66,63,46,24.55,182.86,76.1,76.17,13243448,32483
112,2019,Juventus,83,76,43,27.0,184.79,79.64,80.06,22287121,113636
113,2019,SS Lazio,78,79,42,26.61,183.03,77.39,75.94,11658939,40455
114,2019,Atalanta,78,98,48,25.68,184.89,79.64,73.79,8712321,38393
115,2019,Genoa,39,47,73,25.25,183.88,75.75,71.12,4599375,10656
116,2019,Lecce,35,52,85,26.58,183.15,76.94,66.27,1410606,7576
117,2019,Sassuolo Calcio,51,69,63,25.46,182.07,76.43,71.25,4457500,27393
118,2019,Napoli,62,61,50,25.84,180.03,73.61,76.87,16718548,59839
119,2019,Brescia,25,35,79,24.93,184.54,77.39,69.57,3236607,7464
