,Year,Teams,Ranking,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
86,2015,Sevilla FC,7.0,8131875.0,60281.0,39.6,30.62
87,2015,Málaga CF,8.0,3612580.0,31323.0,7.785,4.62
88,2015,Real Sociedad,9.0,5696093.0,49125.0,22.59,13.08
89,2015,Real Betis Balompié,10.0,2664687.0,29250.0,7.9700000000000015,
90,2015,UD Las Palmas,11.0,1895172.0,22759.0,5.76,
91,2015,Valencia CF,12.0,9423064.0,58290.0,129.51000000000002,65.9
92,2015,RCD Espanyol Barcelona,13.0,2964655.0,28655.0,2.84,1.83
93,2015,SD Eibar,14.0,2375925.0,10963.0,3.33,
94,2015,RCD Mallorca,15.0,3210714.0,31643.0,,
95,2015,Sporting Gijón,16.0,2653518.0,23259.0,0.0,
96,2015,Granada CF,17.0,2601333.0,26700.0,3.465,
97,2015,Rayo Vallecano,18.0,2899107.0,30607.0,0.36,
98,2015,Getafe CF,19.0,3335344.0,30241.0,0.243,
99,2015,Levante UD,20.0,2863571.0,28643.0,5.895,
125,2015,Deportivo de La Coruña,,,,7.199999999999998,
126,2016,Deportivo de La Coruña,,,,6.3,4.92
127,2017,Deportivo de La Coruña,,,,8.55,7.35
